Codigo,Descricao,StatusConserto
1012,PISTOLA DE SIKA PNEUMATICA GRANDE- UNI I,Disponivel
1013,PISTOLA DE SIKA PNEUMATICA GRANDE- UNI II,Disponivel
1014,GROSSA CHATA,Disponivel
1015,LIMA,Disponivel
1016,LIMA CHATA FINA,Disponivel
1017,LIMA MEIA REDONDA,Disponivel
1018,REBITADEIRA PNEUMATICA CHICAGO,Disponivel
1019,POLITRIZ ELETRICA GPO-14CE PROFISSIONAL- UN I,Disponivel
1020,POLITRIZ ELETRICA GPO-14CE PROFISSIONAL,Disponivel
1021,PISTOLA SIKA PNEUMATICA PEQUENA PUMA,Disponivel
1022,PISTOLA SIKA PNEUMATICA,Disponivel
1023,VENTOSA 1,Disponivel
1024,VENTOSA 2,Disponivel
1025,VENTOSA 3,Disponivel
1026,VENTOSA 4,Disponivel
1027,VENTOSA 5,Disponivel
1028,JOGO SERRA COPO,Disponivel
1029,"CHAVE GRINFO 24""- UN I",Disponivel
1030,"CHAVE GRINFO 24""- UN II",Disponivel
1031,POLITRIZ PNEUMATICA PUMA PAT. 7079,Disponivel
1032,"CHAVE GRINFO 36""",Disponivel
1033,"CHAVE GRINFO 12""",Disponivel
1034,MARRETA DE BORRACHA,Disponivel
1035,SARGENTO 29CM - 1,Disponivel
1036,SARGENTO 29CM- 2,Disponivel
1037,SARGENTO 66CM- 1,Disponivel
1038,SARGENTO 66CM- 2,Disponivel
1039,"SARGENTO 44,5CM- 1",Disponivel
1040,"SARGENTO 44,5CM- 2",Disponivel
1041,"SARGENTO 65,5CM",Disponivel
1042,"SARGENTO 86,5CM",Disponivel
1043,PISTOLA DE SILICONE QUENTE VONDER,Disponivel
1044,ESMERILHADEIRA ELETRICA BOSCH,Disponivel
1045,ESQUADRO GRANDE,Disponivel
1046,ESPATULA PARA COLOCAR PARA-BRISA 1,Disponivel
1047,ESPATULA PARA COLOCAR PARA-BRISA 2,Disponivel
1048,ESPATULA PARA COLOCAR PARA-BRISA 3,Disponivel
1049,ESPATULA PARA COLOCAR PARA-BRISA 4,Disponivel
1050,GANCHO PARA COLOCAR PARA-BRISA,Disponivel
1051,REBITADEIRA MANUAL POP,Disponivel
1052,"ALICATE BICO FECHAR ANEL TORTO 9""",Disponivel
1053,"ALICATE BICO FECHAR ANEL RETO 9""",Disponivel
1054,"ALICATE DE CORTAR CADEADO 18""",Disponivel
1055,"ALICATE BICO ABRIR ANEL TORTO 9""",Disponivel
1056,"ALICATE BICO ABRIR ANEL RETO 9""",Disponivel
1057,BALANCA MANUAL,Disponivel
1058,"CHAVE INGLESA 15"" 1",Disponivel
1059,"CHAVE INGLESA 15"" 2",Disponivel
1060,"CHAVE INGLESA 18""",Disponivel
1061,ARCO SERRA MANUAL 1,Disponivel
1062,ARCO SERRA MANUAL 2,Disponivel
1063,RELOGIO COMPARADOR,Disponivel
1064,"CHAVE FIXA 2"" X 1"" 13/16",Disponivel
1065,"CHAVE FIXA 1""X3/4 X 1"" 5/8",Disponivel
1066,CHAVE FIXA 38X41,Disponivel
1067,CHAVE FIXA 36X41,Disponivel
1068,CHAVE COMBINADA 30MM,Disponivel
1069,"CHAVE COMBINADA 1"" 1/4",Disponivel
1070,KIT REGULAGEM VALVULA,Disponivel
1071,MANOMETRO VOLVO 1,Disponivel
1072,MANOMETRO VOLVO 2,Disponivel
1073,APARELHO TESTE DE BATERIA MANUAL 1,Disponivel
1074,SOPRADOR TERMICO VONDER III,Disponivel
1075,FERRO SOLDA ESTANHO CANETA,Disponivel
1076,JG CHAVE TORKS CATRACA WURTH (ZEBRADA),Disponivel
1077,JG CHAVE TORKS CATRACA FEMEA,Disponivel
1078,GRAXIEIRA MANUAL THERMO KING 1,Disponivel
1079,GRAXIEIRA MANUAL THERMO KING 2,Disponivel
1080,GRAXIEIRA MANUAL THERMO KING 3,Disponivel
1081,ESTANQUEIDADE,Disponivel
1082,JG SOQUETE 10 A 32MM SEXTAVADO 1/2,Disponivel
1083,SERRA TICO-TICO ELETRICA BOSCH GST 650,Disponivel
1084,FURADEIRA ELETRICA DE IMPACTO (CONSERTO),Disponivel
1085,PISTOLA DE SIKA MANUAL LONGO,Disponivel
1086,MASSARICO PORTATIL DUGOLD,Disponivel
1087,PISTOLA DE SOLDA ELETRICA PAT 4353,Disponivel
1088,APARELHO TESTE DE BATERIA MANUAL 2,Disponivel
1089,ESCOVA DE AÇO QUADRADA,Disponivel
1090,ESCOVA DE AÇO REDONDA 1,Disponivel
1091,SACADOR POLIA SCANIA 113,Disponivel
1092,SACADOR TERMINAL VOLVO,Disponivel
1093,MANOMETRO MWM 1,Disponivel
1094,MANOMETRO MWM 2,Disponivel
1095,MANOMETRO MWM 3,Disponivel
1096,MANOMETRO MWM 4,Disponivel
1097,CONEXAO PARA MEDIR PRESSAO,Disponivel
1098,CONEXAO PARA MEDIDOR 1,Disponivel
1099,CONEXAO PARA MEDIDOR 2,Disponivel
1100,CONEXAO PARA MEDIDOR 3,Disponivel
1101,CONEXAO PARA MEDIDOR 4,Disponivel
1102,CONEXAO PARA MEDIDOR 5,Disponivel
1103,CONEXAO PARA MEDIDOR 6,Disponivel
1104,CONEXAO PARA MEDIDOR 7,Disponivel
1105,CONEXAO PARA MEDIDOR 8,Disponivel
1106,CONEXAO PARA MEDIDOR 9,Disponivel
1107,PISTOLA MANUAL DE SILICONE SIMPLES,Disponivel
1108,MASCARA SOLDA ELETRICA-NÂO USAR,Disponivel
1109,GABARITO PARA ASSENTO DE CAMISA B12,Disponivel
1110,CALÇO PARA CABEÇOTE B12R,Disponivel
1111,CHAVE CREMALHEIRA VOLVO 996956,Disponivel
1112,ESCOVA DE AÇO REDONDA 2,Disponivel
1113,BASE MAGNETICA 1,Disponivel
1114,BASE MAGNETICA 2,Disponivel
1115,BASE MAGNETICA 3,Disponivel
1116,CHAVE IMPACTO 1/2 18V 400NM,Disponivel
1117,MANOMETRO DE PRESSÃO 1,Disponivel
1118,MANOMETRO DE PRESSAO VOLVO,Disponivel
1119,MANOMETRO DE PRESSAO SCANIA/MERCEDES-BENZ,Disponivel
1120,KIT MEDIDOR DE PRESSAO PNEUMATICA,Disponivel
1121,FACA PNEUMATICA PUMA TP 6014- CONSERTO,Disponivel
1122,DENSITOMETRO TESTE DE BATERIA,Disponivel
1123,LIXADEIRA TREME-TREME ELETRICA 2,Disponivel
1124,LIXADEIRA TREME-TREME ELETRICA 3,Disponivel
1125,CHAVA CX CAMBIO SCANIA 98765,Disponivel
1126,SACADOR TERMINAL VOLVO 1,Disponivel
1127,SACADOR TERMINAL VOLVO 2,Disponivel
1128,CHAVE MULTIPLICADORA DE TORQUES 170KG 1,Disponivel
1129,CHAVE MULTIPLICADORA DE TORQUES 170KG 2,Disponivel
1130,KIT TESTE PRESSÃO DIESEL,Disponivel
1131,KIT ANALISE E LIMPEZA INJETOR 1,Disponivel
1132,KIT ANALISE E LIMPEZA INJETOR 2,Disponivel
1133,KIT COMPARADOR ANALOGICO QUADRANTE,Disponivel
1134,MEDIDOR OPACIDADE DE FUMAÇA,Disponivel
1135,FERRO SOLDA MACHADINHO 1,Disponivel
1136,FERRO SOLDA MACHADINHO 2,Disponivel
1137,FERRO SOLDA MACHADINHO 3,Disponivel
1138,CINTO SEGURANÇA PARAQUEDAS,Disponivel
1139,PISTOLA TORNADOR 1,Disponivel
